ROW_ID,CGID,LABEL,DESCRIPTION
16207964,15445,MD,RN
12940916,19822,NuStud,
545602,16723,RO,Read Only
7179090,14297,CM,
7836865,14089,MD,Attending
8102526,20618,AA,
5374823,16075,RN,Pastoral Care
14807078,20865,CRT,Research Assistant
10746255,15054,std,
11823586,20628,RO,Resident/Fellow/PA/NP
12138151,18348,Rehab,RN
15780397,14889,PCT,Pastoral Care
11622656,20901,RO,Read Only
14605922,16477,Res,Social Worker
10895901,18357,MD,Rehabilitation
2757017,15600,RA,Respiratory
3877526,20235,RPHS,
8255737,14983,RD,PCT/NA
1370055,16175,RN,Rehabilitation
16650989,14103,Studen,UCO
10087445,20621,Medst,Rehabilitation
11002745,21430,MS,
2826956,19211,PCT,Social Worker
1208737,19833,RNC,
3561619,15247,RHP,
10302773,14025,Res,UCO
12432127,14973,Rehab,Resident/Fellow/PA/NP
8743284,15531,MD,RN
15270491,17367,RT,Read Only
3318266,15125,Medst,Resident/Fellow/PA/NP
49454,20557,UCO,Case Manager
4982947,20001,RD,Pharmacist
10699299,14509,RRT,
8072111,17705,RN,Resident/Fellow/PA/NP
8972940,21124,RT,Read Only
11800077,15821,UA,Administrator
5200034,18127,NPS,
796209,15930,PT,Resident/Fellow/PA/NP
7197395,20271,DI,Read Only
13223886,20122,RPh,
11346695,14384,RN,Rehabilitation
10754279,15443,HMSIV,
11757053,20147,LICSW,
14906659,21321,MDs,Social Worker
531314,20696,STN,
12851768,14950,RD,
1403366,15155,ReAssi,Dietitian
3186643,21246,StuNur,Resident/Fellow/PA/NP
7540104,19269,3874,Social Worker
15619409,16474,PC,Read Only
9002336,20614,PA,Social Worker
7664501,17187,std,UCO
4269720,19446,ReAssi,
1814146,19234,RPH,Resident/Fellow/PA/NP
8059404,20317,RPH,Dietitian
5126945,19364,Co-Wkr,
4370865,18716,MS,
3375932,17921,Rehab,Pharmacist
7871765,20047,StNRS,
4236672,19968,SRT,
523547,14392,RD,Respiratory
12225646,20751,RA,PCT/NA
4684419,20246,MDs,
14828129,21253,Rehab,Case Manager
3550129,19241,PCT,Rehabilitation
6385545,17446,RN,Respiratory
1152903,18471,ISSupp,Pharmacist
