ROW_ID,CGID,LABEL,DESCRIPTION
16207964,21003,71,-1
12940916,14547,71,12
545602,14266,146,8
7179090,14832,172,12
7836865,20808,71,-1
8102526,21061,71,-1
5374823,20855,146,-1
14807078,21367,155,9
10746255,21007,155,9
11823586,14820,71,-1
12138151,14288,71,-1
15780397,15360,155,9
11622656,14326,155,9
14605922,20417,71,-1
10895901,14819,71,-1
2757017,20871,155,9
3877526,21061,71,-1
8255737,21109,172,-1
1370055,14391,71,-1
16650989,20807,71,-1
10087445,21288,71,12
11002745,20927,155,-1
2826956,15049,71,-1
1208737,14549,71,-1
3561619,14266,71,-1
10302773,21023,172,12
12432127,21451,172,12
8743284,14868,71,-1
15270491,20832,71,-1
3318266,20683,155,9
49454,21570,71,-1
4982947,14591,146,-1
10699299,20275,155,9
8072111,20721,71,-1
8972940,14210,71,-1
11800077,21570,155,-1
5200034,20911,146,-1
796209,20853,155,9
7197395,14189,71,-1
13223886,21036,71,-1
11346695,20626,71,-1
10754279,20509,71,-1
11757053,21286,71,-1
14906659,14652,155,9
531314,20964,155,-1
12851768,14568,155,9
1403366,14532,172,12
3186643,20648,172,12
7540104,14948,71,-1
15619409,20967,71,-1
9002336,20792,71,-1
7664501,14466,71,-1
4269720,20644,71,-1
1814146,21059,71,-1
8059404,21178,155,9
5126945,21400,71,-1
4370865,20806,71,-1
3375932,14156,71,-1
7871765,15247,146,-1
4236672,15072,71,-1
523547,14381,71,12
12225646,21337,71,-1
4684419,14572,71,9
14828129,20612,71,12
3550129,21382,155,-1
6385545,20783,155,9
1152903,21063,172,12
3111937,21327,71,-1
16532475,21367,172,12
13989204,14507,71,-1
8666471,15092,172,12
12050823,20459,146,-1
10427133,21068,71,12
2979837,14730,146,-1
4846067,21114,71,-1
7453733,20845,71,-1
8346749,20554,71,-1
7606709,20693,155,9
7707371,20817,155,9
386808,21196,155,9
15585913,14134,155,9
6515609,21395,146,-1
4423234,20548,155,9
5112704,20939,71,-1
7253870,21386,71,-1
4709264,14777,155,9
4582717,14569,71,-1
