ROW_ID,CATEGORY,SECTIONRANGE,SECTIONHEADER,SUBSECTIONRANGE,SUBSECTIONHEADER,CODESUFFIX,MINCODEINSUBSECTION,MAXCODEINSUBSECTION,SECTIONHEADER_CAT,SUBSECTIONHEADER_CAT
7552692,2,0001F-7025F,Performance measurement,7010F-7025F,Temporary codes,F,7010,300,4,74
10923999,2,0001F-7025F,Emerging technology,1000F-1220F,Structural Measures,F,7010,15,3,16
14249885,2,0001F-7025F,Performance measurement,0256T-0259T,Temporary codes,F,7010,15,4,16
1057122,2,0001F-7025F,Performance measurement,7010F-7025F,Physical examination,F,7010,15,5,58
13394955,2,0001F-7025F,Performance measurement,0016T-0207T,Diagnostic/screening processes or results,F,7010,15,4,60
10719003,2,0001F-7025F,Performance measurement,4000F-4306F,Diagnostic/screening processes or results,F,7010,469,5,16
4150726,2,0001F-7025F,Performance measurement,0001F-0015F,"Therapeutic, preventive or other interventions",F,6885,15,3,86
9397902,2,0001F-7025F,Emerging technology,3006F-3573F,Follow-up or other outcomes,F,7010,15,3,85
9048487,2,0001F-7025F,Performance measurement,3006F-3573F,Temporary codes,T,7010,1784,3,16
3274673,2,0001F-7025F,Performance measurement,6005F-6045F,Follow-up or other outcomes,F,7010,15,4,122
12588164,2,0256T-0259T,Performance measurement,1000F-1220F,Patient history,T,7010,15,4,16
4815037,2,0001F-7025F,Performance measurement,6005F-6045F,Patient safety,F,7010,15,5,16
7337549,2,0001F-7025F,Performance measurement,7010F-7025F,Physical examination,T,5372,15,5,18
5363329,2,0001F-7025F,Performance measurement,0256T-0259T,Patient safety,F,5035,15,4,16
8325397,2,0256T-0259T,Performance measurement,6005F-6045F,Physical examination,T,7010,1850,4,76
7284051,2,0001F-7025F,Performance measurement,7010F-7025F,Follow-up or other outcomes,F,4031,15,4,81
965561,2,0001F-7025F,Performance measurement,3006F-3573F,Temporary codes,F,7010,15,5,38
15096591,3,0001F-7025F,Performance measurement,6005F-6045F,Temporary codes,T,4239,15,3,122
4195994,2,0001F-7025F,Performance measurement,2000F-2050F,Temporary codes,F,4296,15,4,20
2997256,2,0016T-0207T,Performance measurement,0500F-0575F,Temporary codes,F,1910,15,4,122
5583793,2,0001F-7025F,Performance measurement,0016T-0207T,Physical examination,T,7010,15,5,16
12587125,2,0001F-7025F,Performance measurement,0001F-0015F,Physical examination,F,7010,15,5,16
14404763,2,0001F-7025F,Performance measurement,0500F-0575F,Temporary codes,F,7010,15,3,16
16443690,2,0256T-0259T,Performance measurement,0256T-0259T,Patient safety,F,7010,15,4,16
1432410,2,0001F-7025F,Performance measurement,3006F-3573F,"Therapeutic, preventive or other interventions",F,7010,15,4,16
13661161,2,0001F-7025F,Performance measurement,0016T-0207T,Composite measures,F,4225,15,3,53
14229539,2,0001F-7025F,Performance measurement,0256T-0259T,Patient management,F,5672,15,4,16
13602992,2,0001F-7025F,Performance measurement,0001F-0015F,Composite measures,F,7010,287,5,27
12571901,2,0001F-7025F,Performance measurement,5005F-5100F,Temporary codes,F,5174,3536,4,16
737751,2,0001F-7025F,Performance measurement,0256T-0259T,Composite measures,T,3341,15,4,90
10229664,2,0016T-0207T,Performance measurement,0016T-0207T,Patient history,F,7010,2192,5,16
13670275,2,0016T-0207T,Performance measurement,0500F-0575F,Temporary codes,F,7010,15,3,16
16646382,2,0001F-7025F,Emerging technology,6005F-6045F,Physical examination,T,5329,15,4,44
10095259,2,0256T-0259T,Performance measurement,0256T-0259T,Composite measures,F,7010,3111,5,80
68390,2,0001F-7025F,Performance measurement,1000F-1220F,Composite measures,F,7010,15,5,16
11526815,2,0001F-7025F,Performance measurement,0500F-0575F,Patient history,F,3959,3228,4,63
11774138,2,0256T-0259T,Emerging technology,4000F-4306F,Physical examination,F,1,755,3,16
2798838,2,0016T-0207T,Performance measurement,3006F-3573F,Composite measures,F,7010,5761,4,16
2692095,2,0016T-0207T,Performance measurement,0016T-0207T,Patient safety,F,3604,15,4,93
16151922,2,0001F-7025F,Performance measurement,0256T-0259T,Structural Measures,T,7010,15,4,16
5190307,2,0001F-7025F,Performance measurement,5005F-5100F,Diagnostic/screening processes or results,F,7010,15,4,16
10039216,2,0001F-7025F,Performance measurement,0016T-0207T,Structural Measures,F,7010,816,5,61
7068154,2,0001F-7025F,Performance measurement,7010F-7025F,Temporary codes,T,2585,15,5,16
1706047,2,0256T-0259T,Emerging technology,0500F-0575F,Temporary codes,F,6603,521,4,16
13507255,2,0016T-0207T,Performance measurement,0500F-0575F,Patient history,F,7010,1027,4,70
1434925,2,0001F-7025F,Performance measurement,2000F-2050F,Follow-up or other outcomes,F,2898,586,5,45
