ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE,SHORT_TITLE_CAT,LONG_TITLE_CAT
1050947,sdv-pii-h2hst,sdv-pii-ewu4j,sdv-pii-vgf9s,7491,12228
12480110,sdv-pii-nyqdg,sdv-pii-9jp5y,sdv-pii-pmwix,0,1393
2609990,sdv-pii-f8v7m,sdv-pii-orolq,sdv-pii-mnw82,7091,9590
16740407,sdv-pii-tyicy,sdv-pii-o6ipa,sdv-pii-arzmr,3851,3855
1141216,sdv-pii-1zqpp,sdv-pii-94ewf,sdv-pii-i2zmc,11163,11135
4001065,sdv-pii-v67cq,sdv-pii-q3cn9,sdv-pii-bwqhj,3620,4336
8369884,sdv-pii-kfg2z,sdv-pii-6jvgm,sdv-pii-qn067,11315,13338
12712666,sdv-pii-rv5w5,sdv-pii-5rccf,sdv-pii-jauy3,12316,3791
1285086,sdv-pii-nmk0z,sdv-pii-wi9v6,sdv-pii-lu0nz,0,1500
14133712,sdv-pii-e0q9l,sdv-pii-z5k9y,sdv-pii-f47m2,6193,2729
2235840,sdv-pii-jn2ql,sdv-pii-h70tc,sdv-pii-iuvct,4748,7834
15400215,sdv-pii-zmjau,sdv-pii-3f7u5,sdv-pii-qryjg,735,13083
737000,sdv-pii-doqn1,sdv-pii-dicak,sdv-pii-p4w6c,1251,1090
12050016,sdv-pii-8ktpw,sdv-pii-5rwuc,sdv-pii-df357,11464,11498
14332685,sdv-pii-mjtpb,sdv-pii-rc9vi,sdv-pii-n2r7k,7403,8646
12680640,sdv-pii-5v3hw,sdv-pii-mez95,sdv-pii-yd888,7936,5972
12869267,sdv-pii-nkow2,sdv-pii-1ymlc,sdv-pii-ytepj,438,2722
45726,sdv-pii-bdky6,sdv-pii-g6zom,sdv-pii-0bqkz,3786,2408
8838706,sdv-pii-rt893,sdv-pii-52506,sdv-pii-ykmv3,6632,3358
15815515,sdv-pii-frbbw,sdv-pii-smlm7,sdv-pii-zzmwh,3221,2470
1215465,sdv-pii-vzcju,sdv-pii-3k1pg,sdv-pii-pww3w,1987,13860
3365160,sdv-pii-3v35i,sdv-pii-v1ysy,sdv-pii-k16lg,10879,4094
7440037,sdv-pii-w2y9k,sdv-pii-jyae8,sdv-pii-3zbpw,2459,3034
2719284,sdv-pii-3od74,sdv-pii-rnxa9,sdv-pii-2ebhp,6661,6784
12681066,sdv-pii-8tm5j,sdv-pii-01wfx,sdv-pii-4o84u,1344,9892
16735458,sdv-pii-88569,sdv-pii-edmf5,sdv-pii-a9q5p,2399,805
10012812,sdv-pii-erac2,sdv-pii-t10ze,sdv-pii-638k9,1181,2589
5389900,sdv-pii-kncpw,sdv-pii-ynpsb,sdv-pii-9frex,897,2913
15291594,sdv-pii-eft6u,sdv-pii-cgjou,sdv-pii-321ca,13438,12033
14400173,sdv-pii-vpa3d,sdv-pii-vp6yq,sdv-pii-9fjk0,8937,10046
4684461,sdv-pii-u6rmk,sdv-pii-7ig35,sdv-pii-2r6zo,4100,10468
15499573,sdv-pii-l4k93,sdv-pii-bi37l,sdv-pii-mqh1f,8591,13426
133949,sdv-pii-xxz4v,sdv-pii-2kq1y,sdv-pii-0j30p,6093,3448
1151062,sdv-pii-ea64s,sdv-pii-fkur6,sdv-pii-0k26i,1473,12270
15157710,sdv-pii-t9d6z,sdv-pii-qp8ok,sdv-pii-9v0wf,3917,9128
6091684,sdv-pii-htjlg,sdv-pii-4a9lr,sdv-pii-mhl4i,13269,9018
8317740,sdv-pii-3okga,sdv-pii-v24tz,sdv-pii-9tso0,3034,0
8854540,sdv-pii-ojx5x,sdv-pii-825hq,sdv-pii-w498h,7820,11685
4350616,sdv-pii-fkt0t,sdv-pii-4qff8,sdv-pii-36w55,6116,4913
4000758,sdv-pii-68ttp,sdv-pii-0hxuv,sdv-pii-q5dz8,897,1133
376492,sdv-pii-0tskb,sdv-pii-0wt9p,sdv-pii-nkggv,5043,6690
4596563,sdv-pii-hdkhp,sdv-pii-w8iw2,sdv-pii-q2og5,10353,14561
14738457,sdv-pii-l7wd6,sdv-pii-9irqd,sdv-pii-uvr8z,2287,4694
7229579,sdv-pii-wbnkd,sdv-pii-zqzd8,sdv-pii-xroyh,9997,9751
799150,sdv-pii-hj34j,sdv-pii-hfkw3,sdv-pii-98blt,9342,7683
5055679,sdv-pii-0kem8,sdv-pii-g7lqn,sdv-pii-glc6j,12623,10555
5058618,sdv-pii-fvi93,sdv-pii-4lwmo,sdv-pii-j6ygl,6138,1097
12744927,sdv-pii-h9k6q,sdv-pii-q1k0z,sdv-pii-1ero6,2875,5964
3109018,sdv-pii-blpaq,sdv-pii-sxka1,sdv-pii-ojtno,12587,10846
14646693,sdv-pii-761rg,sdv-pii-1gcfx,sdv-pii-s45cw,6612,11474
4322022,sdv-pii-hr7qf,sdv-pii-5sr2g,sdv-pii-mify7,317,7443
6140989,sdv-pii-d6t48,sdv-pii-f11f5,sdv-pii-g6v41,6974,5208
85125,sdv-pii-nlqel,sdv-pii-h2l25,sdv-pii-cnehu,13898,14561
11860997,sdv-pii-n3tbo,sdv-pii-lv5oy,sdv-pii-rlh1o,4368,2859
8985028,sdv-pii-rc8xr,sdv-pii-dbu7q,sdv-pii-saalu,6739,4246
13823795,sdv-pii-oru9k,sdv-pii-z5mre,sdv-pii-r9jgx,14327,11146
12218040,sdv-pii-dz8ih,sdv-pii-jzy52,sdv-pii-n14re,14274,13113
12234258,sdv-pii-shnus,sdv-pii-qesgv,sdv-pii-nx5bv,5063,5963
12147100,sdv-pii-uxvqb,sdv-pii-xq5j8,sdv-pii-n9peh,3660,5237
4406153,sdv-pii-qf2wp,sdv-pii-wxf35,sdv-pii-4bcqd,11329,13110
3665915,sdv-pii-urnml,sdv-pii-giybo,sdv-pii-nkmv3,3795,12408
14623017,sdv-pii-kie1h,sdv-pii-js9ad,sdv-pii-gc35p,13526,14561
3218838,sdv-pii-ns41p,sdv-pii-40pdo,sdv-pii-e5lp3,6188,3985
15521027,sdv-pii-k5vda,sdv-pii-cpqgg,sdv-pii-gbc5j,12692,12858
4095933,sdv-pii-h2v5t,sdv-pii-8l1q9,sdv-pii-bvbj8,11628,14550
9601002,sdv-pii-s2uy3,sdv-pii-v5ham,sdv-pii-fpint,10252,13573
8352960,sdv-pii-a5vgd,sdv-pii-21psi,sdv-pii-ipcbm,3645,3786
8815411,sdv-pii-czkso,sdv-pii-5pg6d,sdv-pii-byk7k,1343,2844
6708033,sdv-pii-3f4t7,sdv-pii-bb3cs,sdv-pii-e8pb8,6024,7635
9091577,sdv-pii-oiyhu,sdv-pii-uv13b,sdv-pii-a6jyg,3912,2876
7598837,sdv-pii-wc57b,sdv-pii-wn4b6,sdv-pii-lo2qv,8487,4774
10059833,sdv-pii-xeqev,sdv-pii-ovi0p,sdv-pii-i6218,1233,1127
4011376,sdv-pii-tevmt,sdv-pii-bao35,sdv-pii-0zp0r,7774,5751
13983449,sdv-pii-foemd,sdv-pii-ibg8z,sdv-pii-5y37v,5364,4183
1893261,sdv-pii-2309a,sdv-pii-9h0t7,sdv-pii-zasq7,449,134
3590937,sdv-pii-xd3xn,sdv-pii-n4dlq,sdv-pii-6ytw7,2784,2334
3444818,sdv-pii-tb4a8,sdv-pii-kdbj2,sdv-pii-vnigo,8655,7081
12201374,sdv-pii-gn40t,sdv-pii-n93pv,sdv-pii-aoc5q,8127,12535
9891121,sdv-pii-diex3,sdv-pii-a0szc,sdv-pii-16eb0,5935,2927
12678698,sdv-pii-1n8ii,sdv-pii-me02a,sdv-pii-n2ssy,11632,8266
9413873,sdv-pii-uokht,sdv-pii-fv5oi,sdv-pii-j38yt,7651,11354
9006390,sdv-pii-ycpdl,sdv-pii-utr24,sdv-pii-353eb,2613,6910
1706081,sdv-pii-sphty,sdv-pii-ltu8h,sdv-pii-jqpjo,9559,12181
764982,sdv-pii-lvdk5,sdv-pii-r24fq,sdv-pii-8wkoz,2931,9567
3490935,sdv-pii-f04o3,sdv-pii-wyspw,sdv-pii-cj2aq,3800,5581
12473726,sdv-pii-nju8r,sdv-pii-q741z,sdv-pii-lhmik,1344,120
11482869,sdv-pii-qwtrz,sdv-pii-iljx7,sdv-pii-p9ypu,13168,12322
16217763,sdv-pii-orge3,sdv-pii-4oarb,sdv-pii-ikihy,2423,5902
15602112,sdv-pii-kbmsg,sdv-pii-bt89c,sdv-pii-fjdww,23,3433
14283990,sdv-pii-187in,sdv-pii-bkshd,sdv-pii-ljfja,10672,13708
