ROW_ID,ITEMID,LABEL,ABBREVIATION,DBSOURCE,LINKSTO,CATEGORY,UNITNAME,PARAM_TYPE,CONCEPTID,LABEL_CAT,CATEGORY_CAT
16750199,385,sdv-pii-n855e,,metavision,chartevents,Respiratory,bpm,Numeric,,10368,77
16546586,93,sdv-pii-xc9uq,sdv-pii-30ej4,carevue,chartevents,,,,,2377,-1
13338662,86,sdv-pii-vime3,sdv-pii-mqg5x,metavision,chartevents,Thoracentesis,,Text,,3107,79
1664452,703,sdv-pii-d2cbd,,carevue,chartevents,NICOM,,,,6004,40
11344381,38,sdv-pii-0kv3a,,metavision,inputevents_mv,Medications,mcg,Solution,,9902,50
1128820,91563,sdv-pii-i37w4,,carevue,chartevents,,,,,5261,-1
3088971,6206,sdv-pii-tqppz,sdv-pii-mhnnt,metavision,outputevents,Output,mL,Numeric,,3408,65
9653427,3274,sdv-pii-zl6qk,,metavision,procedureevents_mv,ADT,,Process,,8202,4
5262819,9,sdv-pii-7536p,,carevue,inputevents_cv,Free Form Intake,,,,9592,38
9655881,8775,sdv-pii-1c3y4,,hospital,microbiologyevents,SPECIMEN,,,,851,73
9175988,3178,sdv-pii-u6v0x,,metavision,chartevents,NICOM,%,Numeric,,8620,64
339576,754,sdv-pii-9b7tn,,metavision,outputevents,PA Line Insertion,L/min,Numeric,,6141,62
5100565,15,sdv-pii-qoq7n,sdv-pii-nlzf4,carevue,chartevents,,,,,1718,-1
9971216,71,sdv-pii-vtrm1,sdv-pii-dm4ks,metavision,chartevents,Scores - APACHE IV (2),Degree,Numeric,,5145,77
16518653,634,sdv-pii-jhaud,,metavision,inputevents_mv,Medications,mg,Solution,,2817,49
15886836,41,sdv-pii-ddkot,sdv-pii-yxtgn,metavision,chartevents,Respiratory,,Checkbox,,6452,73
2418889,3957,sdv-pii-unodz,sdv-pii-2xuyi,hospital,microbiologyevents,ORGANISM,,,,8376,60
14346018,9792,sdv-pii-dqosk,,metavision,inputevents_mv,Medications,,Numeric with tag,,2880,52
5162338,1212,sdv-pii-58p1r,,metavision,inputevents_mv,Medications,mg,Solution,,10363,48
3221752,15,sdv-pii-glzoj,,metavision,procedureevents_mv,5-Imaging,,Process,,3908,6
2992659,974,sdv-pii-nkztl,,metavision,datetimeevents,Access Lines - Invasive,,Date time,,2818,15
15408419,92,sdv-pii-jexkz,sdv-pii-vieus,hospital,microbiologyevents,ORGANISM,,,,8132,60
13549029,344,sdv-pii-lx80u,,metavision,inputevents_mv,PICC Line Insertion,,Text,,2868,61
15076434,3,sdv-pii-de7p7,,carevue,inputevents_cv,Free Form Intake,,,,6764,39
175353,1,sdv-pii-o8ppd,,carevue,outputevents,,,,,3848,-1
5667159,239,sdv-pii-5sc12,,metavision,procedureevents_mv,6-Cultures,,Process,,1836,3
5370683,36,sdv-pii-bj9kc,,metavision,chartevents,IABP,,Numeric,,8997,29
2765658,5,sdv-pii-72rjo,,metavision,chartevents,Respiratory,mL/min/m2,Numeric,,6847,82
6877691,7284,sdv-pii-y3dkf,,metavision,procedureevents_mv,4-Procedures,,Process,,5209,5
12739562,185,sdv-pii-3qr67,,hospital,microbiologyevents,ORGANISM,,,,3225,61
6498345,28701,sdv-pii-becr3,,metavision,chartevents,Scores - APACHE II,?F,Numeric,,8719,75
16626239,38308,sdv-pii-h2ma8,,carevue,chartevents,,,,,10438,-1
13784222,2208,sdv-pii-awgf9,,metavision,chartevents,Access Lines - Invasive,,Text,,6690,13
5749089,877,sdv-pii-uvrqm,,metavision,procedureevents_mv,Access Lines - Invasive,,Process,,4446,11
10363856,21568,sdv-pii-dfv4s,,metavision,chartevents,Skin - Incisions,,Text,,2855,83
9270954,53152,sdv-pii-q9mpp,,metavision,chartevents,Skin - Impairment,,Text,,6975,84
9310979,8279,sdv-pii-t5kiq,,carevue,inputevents_cv,Free Form Intake,,,,6895,39
7878322,1,sdv-pii-yfry2,,carevue,inputevents_cv,Free Form Intake,,,,5915,39
15525987,46,sdv-pii-nmyry,,hospital,microbiologyevents,ORGANISM,,,,2427,64
7550892,2876,sdv-pii-oqmaz,,metavision,inputevents_mv,Nutrition - Supplements,msec,Solution,,3175,61
12819470,884,sdv-pii-9vnvj,,metavision,inputevents_mv,Medications,mg,Solution,,939,50
6559200,982,sdv-pii-culii,,carevue,inputevents_cv,Free Form Intake,,,,721,40
11726786,6,sdv-pii-rxxy9,sdv-pii-96jk8,carevue,chartevents,Lumbar Puncture,,,,2749,39
1253505,7592,sdv-pii-4gqf4,sdv-pii-zmbhx,metavision,chartevents,Treatments,mg/hour,Numeric,,10347,53
13274042,74,sdv-pii-32cme,,metavision,procedureevents_mv,6-Cultures,,Process,,3560,8
489246,539191,sdv-pii-iyddy,,hospital,microbiologyevents,SPECIMEN,,,,2605,59
15517580,5299,sdv-pii-uvig4,,carevue,inputevents_cv,Free Form Intake,,,,5522,39
7864546,64,sdv-pii-4273x,,metavision,chartevents,Pain/Sedation,mL,Numeric,,2254,68
4657352,142,sdv-pii-8t1xz,sdv-pii-5ktq1,metavision,chartevents,Dialysis,lbs,Numeric,,5421,84
620498,82408,sdv-pii-9prcl,sdv-pii-ai1wj,metavision,chartevents,PA Line Insertion,,Text,,8543,69
6801109,8776,sdv-pii-3lg0h,sdv-pii-bxgad,metavision,datetimeevents,Access Lines - Peripheral,,Date time,,3892,16
1057307,229,sdv-pii-q0mgu,,metavision,procedureevents_mv,3-Significant Events,,Process,,574,3
14612662,39,sdv-pii-dfls1,,metavision,chartevents,Treatments,,Checkbox,,3615,93
3095083,57,sdv-pii-gxek5,,metavision,chartevents,Hemodynamics,,Checkbox,,2341,50
4535699,7927,sdv-pii-yzh76,sdv-pii-g6bfq,metavision,chartevents,Nutrition - Parenteral,,Numeric,,8311,68
4041144,3561,sdv-pii-8vrab,sdv-pii-4vfoh,carevue,inputevents_cv,Free Form Intake,,,,5136,39
13774831,38,sdv-pii-6wf7k,,hospital,microbiologyevents,SPECIMEN,,,,2613,83
3448833,254,sdv-pii-p347j,sdv-pii-i8unc,hospital,microbiologyevents,ORGANISM,,,,8485,66
447121,22753,sdv-pii-ycbf3,,carevue,inputevents_cv,Free Form Intake,,,,2650,40
3288674,35119,sdv-pii-du9sc,sdv-pii-8bq0w,metavision,chartevents,Restraint/Support Systems,,Text,,2841,11
13386894,8874,sdv-pii-8ocdt,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,2448,38
6199095,724,sdv-pii-6mcv2,sdv-pii-ocbhc,metavision,chartevents,Access Lines - Invasive,,Checkbox,,5512,16
525900,366,sdv-pii-t5fqf,,carevue,inputevents_cv,Free Form Intake,,,,11845,39
5706624,63,sdv-pii-yyod5,,metavision,inputevents_mv,Nutrition - Enteral,mL,Solution,,4465,61
11403954,44,sdv-pii-9cyyw,sdv-pii-ju99b,metavision,chartevents,Respiratory,cmH2O,Numeric,,-1,67
9762508,91423,sdv-pii-jkknh,sdv-pii-vg2p6,metavision,inputevents_mv,Medications,mEq,Solution,,3549,50
4693713,7774,sdv-pii-7paw2,,hospital,microbiologyevents,SPECIMEN,,,,7639,76
2080314,442,sdv-pii-m85mx,sdv-pii-a4vaf,carevue,chartevents,,,,,1128,-1
9076509,206,sdv-pii-2fvs2,,metavision,chartevents,Respiratory,bpm,Numeric,,8972,74
475100,8483,sdv-pii-i8c5r,,metavision,chartevents,Scores - APACHE IV (2),,Numeric,,216,82
6190094,13952,sdv-pii-4jw8e,,carevue,outputevents,,,,,1260,-1
2723624,634,sdv-pii-0djkm,,metavision,chartevents,Toxicology,,Numeric,,3915,85
4190270,62057,sdv-pii-vxami,,metavision,inputevents_mv,Fluids/Intake,mL,Solution,,2191,38
2038390,7,sdv-pii-6aui3,sdv-pii-quxb8,metavision,outputevents,OT Notes,,Numeric,,2108,62
4215969,5071,sdv-pii-p74rf,,carevue,chartevents,,,,,1054,-1
