ROW_ID,ITEMID,LABEL,FLUID,CATEGORY,LOINC_CODE
6560662,50951,169,3,3,418
14819059,50958,531,9,5,531
3877954,51167,478,2,3,422
779896,51367,567,3,5,490
14984616,51160,124,3,3,575
11969510,50957,221,9,5,575
13647302,51555,523,10,2,573
9793144,51397,527,14,4,575
6916421,51555,42,9,4,372
2508137,50816,74,3,3,201
1717145,51034,0,3,3,254
13754951,51555,588,5,4,575
11351101,51170,509,10,5,575
275424,51555,369,9,2,575
6572619,50947,0,3,3,525
4811712,50829,292,2,1,0
6974791,50868,210,3,1,141
8333311,51066,31,4,5,520
4873122,51382,295,3,3,575
12270979,51290,416,4,4,575
8716550,51068,313,13,5,471
13941663,50877,490,7,5,126
4024147,50953,97,4,5,422
2601246,51090,588,2,0,168
1907288,51555,399,10,0,575
8482430,51555,157,10,4,575
15975325,50949,233,3,3,575
14853765,50851,194,3,3,451
16225497,50985,121,3,3,68
14973958,51004,24,3,1,175
481110,50853,171,3,3,81
8627766,51555,588,4,2,575
15191574,51324,421,9,5,432
7385689,50853,335,3,1,565
1828599,50985,215,3,3,171
2779622,51494,421,1,2,535
4303539,51492,161,8,5,442
15195435,51377,527,9,0,575
15222803,50892,415,3,5,432
13676749,51395,134,1,5,575
7734314,50958,588,3,3,263
4539286,50828,184,3,5,547
16365037,51117,96,14,5,560
5376510,51555,405,10,2,575
7344037,50845,400,3,1,575
10010743,50898,80,14,5,296
16746416,51271,588,11,0,561
16406081,50892,264,3,1,81
14782082,51483,588,2,2,572
11879535,50826,122,3,3,101
277940,51332,588,15,5,575
6648321,51555,574,8,4,575
15498739,50854,155,3,1,291
8685913,51410,135,2,5,203
10162756,50800,78,3,1,196
8470077,51555,407,0,4,575
13426828,51443,132,9,5,571
1068441,50944,335,9,5,575
14820112,51069,108,3,0,573
7380455,51448,588,2,5,575
4692801,50991,117,3,3,406
1441438,51473,412,15,2,548
10870645,51302,565,15,0,575
8935689,51459,399,9,2,575
9268288,51455,163,11,3,494
