ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE,SHORT_TITLE_CAT,LONG_TITLE_CAT
9157262,8630,Opn ind ing hern-gft NEC,Osteoplasty [osteotomy] of body of mandible,1948,2424
5826993,9999,Tonsil/adenoid ops NEC,"Bone graft, scapula, clavicle, and thorax [ribs and sternum]",3542,3474
3850511,6268,Exten buccolabial/sulcus,Cyclodialysis,537,1309
13796094,8978,Unilat thyroid lobectomy,Suture of capsule or ligament of ankle and foot,2280,2916
4238217,9999,Intravascul imaging NOS,"Microscopic examination of specimen from eye, toxicology",1791,749
11870776,8695,Destruc bartholin gland,Low forceps operation,3660,3230
551008,9999,Graft repair atrial def,Functional evaluation,3842,2029
13567469,9999,Mumps vaccination,Open biopsy of lung,552,3562
9189002,7762,Intranasal antrotomy,Implantation of diaphragmatic pacemaker,1400,3003
3672924,9999,Oth rep int cervical os,Aspiration biopsy of ovary,602,738
9093083,7736,Temp detach >1 xtroc mus,Division of sympathetic nerve or ganglion,2811,586
3246174,7675,Partial cystectomy,Visual evoked potential [VEP],3389,2900
2356549,7964,Abd-coron artery bypass,Closure of fistula of uterus,639,3071
11202670,9912,Penile operation NEC,"Other arthrotomy, knee",2862,3530
16372975,9999,Mix venous bld gas meas,Laparoscopic radical abdominal hysterectomy,644,3850
10062382,5421,Pancreatic anastomosis,Other cervical biopsy,1833,614
12949945,7688,Fasciotomy,Injection or infusion of nesiritide,3881,1528
14564361,1510,Skel xray-pelvis/hip NEC,Other consultation,2989,558
7138609,7603,Oth metacarp/carp incis,Thigh reattachment,3594,2608
168403,9814,Cystostomy irrigation,Manual rotation of fetal head,2931,573
10837759,9999,Iris biopsy,Suture of laceration of ureter,614,3097
9174703,1956,Arm varicose v lig-strip,"Sequestrectomy, carpals and metacarpals",1681,2379
5054044,8554,Revis exenter cavity NEC,Radical subtotal pancreatectomy,3784,3258
4842132,9802,Remov urethral stent,Other excision or destruction of lesion or tissue of cervix,3758,3791
3850759,2185,Intranas les destruction,Other destruction of intervertebral disc,3678,2531
15073053,7729,Division of penile adhes,Other revision of stapedectomy,557,625
6487011,9713,Cardiac rhythm conv NEC,Tendon pulley reconstruction other than hand,3603,2136
6859079,9999,Toxicology-blood,"Fixation of intestine, not otherwise specified",2314,516
5012884,9739,Arterial pressure monit,Subtalar fusion,3596,671
15733838,8631,2ndry ocular imp insert,Closure of other fistula of trachea,3368,2016
10318111,9865,Cl reduc disloc NOS,"Insertion of total spinal disc prosthesis, lumbosacral",483,370
13171883,9999,Bone graft NEC,Removal of foreign body from spinal canal,350,3778
14315669,9999,Osteopath manipulat NEC,Graft of muscle or fascia,599,2267
11369254,9999,Tonsillectomy,Tracheostomy toilette,1800,1513
1087203,9999,Imp/rep subcue card dev,Intrathoracic esophageal anastomosis with interposition of colon,3526,3601
6938664,8923,Replace ventricle shunt,Intracranial oxygen monitoring,3707,3722
617442,9999,Mid & inner ear biopsy,"Other division of bone, tibia and fibula",2909,749
8639186,8901,Lap right hemicolectomy,Removal of mechanical kidney,3815,1796
13287370,1132,Perc angio intracran ves,"Other local excision or destruction of lesion of joint, hand and finger",1401,3097
6507095,9986,Remove nasal packing,"Closed heart valvotomy, tricuspid valve",1627,2340
12600995,7381,Exchange transfusion,"Vagotomy, not otherwise specified",3543,3154
16392011,9749,Radical cystectomy,Injection of therapeutic substance into pericardium,1252,875
6771229,1838,Lac punctum obliteration,Injection or instillation of radioisotopes,3719,675
852058,7403,Cholecystostomy NEC,Other cataract extraction,638,916
10023288,6961,Lacrimal sac biopsy,Amputation of toe,2834,3535
13266710,6727,Lower limb vein incision,Excision of lesion of tendon sheath of hand,2955,588
4655381,4420,Cholecystectomy,Other repair and plastic operations on bronchus,2789,1911
15416596,9970,Intrcoronry thromb infus,"Excision of lesion of eye, unspecified structure",393,3096
15148921,1897,Lid lacer rx-prt th NEC,Suture of gastric ulcer site,2879,695
4551615,8813,Bact smear-upper GI,"Microscopic examination of specimen from other site, culture",2178,2762
16492419,9999,Lap pt ex lrg intest NEC,Immunization for allergy,2119,2143
2883497,4167,Facial bone x-ray NEC,Extracranial-intracranial (EC-IC) vascular bypass,3625,2055
4898955,8733,Remov trunk packing NEC,"Routine chest x-ray, so described",461,2781
16399021,5551,Tracheal reconstruction,Excision of lacrimal sac and passage,3841,3156
13929361,7698,Fetal pulse oximetry,Repair of endocardial cushion defect with tissue graft,397,732
16244556,7154,Tot breech extrac NEC,"Transverse rectus abdominis myocutaneous (TRAM) flap, free",593,1291
9539054,9999,Seminal vesicle excision,Repair of endocardial cushion defect with prosthesis,3658,659
9286352,7441,Cautery to stop epistax,Bursotomy,471,2498
5560001,7685,Incis cx to assist deliv,Removal of intracranial neurostimulator lead(s),3530,3434
11049520,8484,Oral cavity dx proc NEC,Insertion of antimicrobial envelope,575,3808
16313234,1374,Radioisot teleradiother,"Angiocardiography, not otherwise specified",3604,2837
8873902,9645,Micro exam-spln/marr NEC,Bilateral exploration of adrenal field,2031,3282
926219,9717,Lid lacer rx-prt th NEC,Suture of capsule or ligament of ankle and foot,1375,531
12117894,1475,Bact smear-musculoskel,Injection of antibiotic,2379,3256
4140661,9999,Radical orbitomaxillect,Aspiration curettage following delivery or abortion,1259,2508
14201190,4303,Lap ing hern-graft NOS,Suture of laceration of urethra,1218,3012
2217339,9999,Culture-musculoskeletal,Other soft tissue x-ray of upper limb,565,2015
5899877,1500,Oxygen consumption monit,Pneumoencephalogram,696,607
3797556,9945,Reduction anal prolapse,Infusion of vasopressor agent,3560,2739
6453045,1777,Rev knee replace-patella,Other nonoperative neurologic function tests,2701,1712
13098166,8685,Fallop tube dx proc NEC,Injection of therapeutic substance into bursa,350,1559
6831543,9918,Radioactive elem implant,Other reconstruction of mandible,2382,1195
12024691,9858,Tendon recession,Obliteration of vaginal vault,3657,3118
11764273,8493,Percutan vertebroplasty,"Diagnostic procedures on bone, not elsewhere classified, carpals and metacarpals",2878,3661
7497079,9886,Inject anti-infect NEC,(Aorto)coronary bypass of three coronary arteries,1298,1885
12979432,7152,Proximal pancreatectomy,"Bone marrow transplant, not otherwise specified",1894,1608
350672,1537,Exc les soft tissue NEC,Removal of cystostomy tube,1983,3881
2199171,9999,Rep scler staphyloma NEC,Keratophakia,3283,2968
9625553,8876,Lap left hemicolectomy,Other open reduction of facial fracture,2236,758
